code,Month,year,burn debris,Avg Daily Disch  Nr nrst gage,Preceding Yr Dry  Duration (ys),Total inverts,Total non-insects,Total insects,Total amphibians,Turbellaria,Mollusks ,Crustacea,Ephemerop,Plecoptera,Trichoptera,EPT,Odonata,Coleoptera,Hemiptera,OCH,Megaloptera ,Diptera,Sensitive,Medium,Tolerant,Coll-gath,Coll-filt,Filter-lent,Grazer,Predator,Piercer,Shredder,Semi,Uni,Multi,Fast seas,Non-seas,small,medium,large,Cold steno,Cool_warm eury,Warm eury,Pool,Mixed,Riffle,No wings,Weak flght,Strong flght,Rare drift,Occ-com drift,Abund drift,Cut resp,Gills,Atmospheric,Taxa richness,Pielou's J,rarified_taxa,Biotic index,Thermal index
sau,6,2010,2,0.1072,0,1021,2,1019,146,1,1,0,890,0,24,914,40,14,48,102,1,2,164,84,770,890,1,1,143,108,0,24,6,81,931,983,35,898,72,48,7,999,12,1101,8,58,2,951,68,970,4,47,2,955,64,25,0.46,9.4,5.2445,17.1036
sol,6,2010,0,0.0681,0,493,7,486,9,1,6,0,135,2,121,258,48,29,143,220,5,3,211,103,177,111,3,0,57,210,3,118,12,309,170,332,159,75,386,30,118,353,20,290,15,197,7,322,164,230,244,19,9,323,161,25,0.72,15.7,1.5670,16.1809
sru,6,2010,1,0.1088,0,267,1,266,87,1,0,0,177,0,2,179,59,12,10,81,5,1,123,72,72,177,0,0,88,88,0,1,6,82,179,253,14,180,28,59,12,253,2,302,0,52,1,239,27,202,17,48,2,243,22,17,0.67,10.8,2.6616,16.6650
bgu,6,2011,2,0.2060,0,875,1,874,299,1,0,0,735,0,26,761,16,35,46,97,0,16,134,570,170,738,13,0,299,83,15,26,2,79,793,828,46,784,72,18,18,465,391,627,17,530,1,780,94,350,2,523,14,777,84,21,0.63,10.8,1.7646,20.8466
csp,6,2011,1,0.0611,0,351,0,351,7,0,0,0,207,1,111,319,7,4,21,32,0,0,188,134,29,206,0,0,2,40,0,110,3,168,180,238,113,165,177,9,113,224,14,113,2,243,0,326,25,64,158,129,3,323,25,18,0.66,11.0,1.3579,16.3861
ecm,6,2011,0,0.1338,0,350,0,350,2,0,0,0,102,0,70,172,4,15,152,171,7,0,88,100,159,96,0,0,13,172,4,67,4,115,228,262,85,94,249,4,69,274,4,193,8,151,0,182,168,175,100,75,3,182,165,20,0.66,12.5,2.4946,16.2331
mrn,6,2011,1,0.2060,0,918,4,914,8,0,4,0,845,4,27,876,14,14,8,36,0,2,346,534,38,844,3,0,13,27,9,30,7,53,858,879,39,868,36,14,18,818,82,372,20,534,4,889,25,382,18,518,6,886,26,18,0.47,8.2,3.5744,17.7657
ral,6,2011,1,0.0607,0,361,1,360,3,0,1,0,26,3,257,286,62,4,7,73,0,1,278,13,70,26,1,0,2,75,1,259,4,342,15,101,260,16,282,63,261,99,1,91,7,266,1,348,12,74,279,8,5,345,11,19,0.37,8.3,0.7561,15.7182
rau,6,2011,1,0.0611,0,491,8,483,3,2,6,0,53,1,334,388,78,5,7,90,0,5,371,28,91,54,1,0,9,95,0,334,1,459,31,153,338,32,380,79,337,153,1,127,7,359,8,473,10,100,374,17,6,468,17,18,0.41,8.0,1.5464,15.7618
ref,6,2011,0,0.1319,0,394,2,392,1,0,2,0,95,0,112,207,37,45,100,182,2,1,121,133,139,87,1,0,14,183,0,110,2,226,165,277,116,117,238,38,135,257,1,222,2,171,2,248,144,202,128,64,2,247,145,22,0.71,12.6,2.5554,16.0820
