code,Month,year,burn debris,Avg Daily Disch  Nr nrst gage,Preceding Yr Dry  Duration (ys),Total inverts,Total non-insects,Total insects,Total amphibians,Turbellaria,Mollusks ,Crustacea,Ephemerop,Plecoptera,Trichoptera,EPT,Odonata,Coleoptera,Hemiptera,OCH,Megaloptera ,Diptera,Sensitive,Medium,Tolerant,Coll-gath,Coll-filt,Filter-lent,Grazer,Predator,Piercer,Shredder,Semi,Uni,Multi,Fast seas,Non-seas,small,medium,large,Cold steno,Cool_warm eury,Warm eury,Pool,Mixed,Riffle,No wings,Weak flght,Strong flght,Rare drift,Occ-com drift,Abund drift,Cut resp,Gills,Atmospheric,Taxa richness,Pielou's J,rarified_taxa,Biotic index,Thermal index
aho,6,2016,0,0.0046,0,378,27,351,13,0,27,0,96,0,15,111,139,0,73,212,10,18,14,30,334,96,0,20,33,227,0,15,6,188,184,343,35,132,106,140,5,368,5,360,25,6,27,272,79,354,24,0,0,262,116,16,0.72,11.1,4.2918,16.4550
bgu,6,2016,2,0.0036,0,1526,22,1504,115,3,19,0,1104,0,40,1144,136,31,187,354,2,4,12,64,1414,1107,0,1,135,359,0,39,4,175,1311,1404,86,1130,250,110,15,1454,21,1577,44,20,22,1273,231,1509,17,0,4,1281,241,25,0.41,8.9,6.9610,18.4176
ral,6,2016,1,0.0001,0.34,486,102,384,4,3,99,0,11,0,121,132,115,28,75,218,4,30,120,53,309,13,0,30,102,218,6,121,33,277,172,314,168,152,210,120,113,357,12,253,110,127,102,268,116,359,127,0,3,251,232,21,0.72,12.9,4.0665,17.3502
rom,6,2016,0,0.0001,0,2833,2246,587,31,32,2214,0,24,0,298,322,150,3,111,264,0,1,228,206,2301,24,1,2116,130,293,2,298,52,2545,138,2354,381,2124,480,131,208,2488,39,2482,131,251,2246,421,166,2602,229,2,33,2687,113,18,0.77,11.5,4.6206,17.9538
sjo,6,2016,0,0.0106,0,241,22,219,8,3,19,0,19,0,64,83,97,2,21,120,0,16,17,83,140,19,0,17,25,122,1,65,16,165,59,142,98,55,87,98,17,205,18,208,19,22,22,182,37,220,21,0,3,182,56,17,0.73,11.0,2.5453,17.9982
sru,6,2016,1,0.0036,0,360,49,311,130,0,49,0,170,0,10,180,42,7,30,79,0,52,11,20,323,172,0,51,180,77,0,10,14,95,245,326,28,273,42,39,9,341,4,425,50,15,49,260,51,349,11,0,0,222,138,20,0.63,10.6,3.7051,18.8540
sys,6,2016,0,0.0001,0,439,57,382,109,1,56,0,12,0,232,244,58,7,28,93,0,45,236,20,170,14,0,51,159,92,0,232,11,348,67,177,249,101,262,63,231,185,10,252,53,243,57,338,44,201,237,1,1,315,123,24,0.59,10.7,1.9207,16.3007
taj,6,2016,0,0.0040,0,1221,90,1131,7,56,34,0,215,0,2,217,21,29,20,70,1,843,0,71,1139,215,0,847,36,110,16,2,3,897,312,1179,33,1106,83,23,2,1204,6,1119,42,65,90,1078,53,1164,57,0,56,247,918,23,0.39,8.9,5.4421,15.0440
bgu,6,2017,2,0.0969,0,678,42,636,303,0,42,0,404,0,8,412,145,31,46,222,1,1,4,24,637,405,0,0,345,223,0,8,6,169,490,648,17,460,61,144,14,647,4,921,56,4,42,559,77,673,5,0,0,558,120,18,0.53,8.0,1.1129,19.2180
csp,6,2017,1,0.0145,0.5,925,0,925,187,0,0,0,483,0,100,583,57,183,101,341,0,1,110,188,613,483,0,1,118,409,1,100,6.5,327,578,791,120.5,647.5,208,56,260,646,5,1008,2,102,0,626,299,818,99,7.875,0,640,285,24,0.62,11.0,3.8361,16.0049
ecm,6,2017,3,1.7343,0.5,5230,0,5230,4,0,0,0,5076,0,10,5086,38,26,47,111,0,33,20,167,5030,5079,2,31,4,109,0,9,2,113,5102,5169,48,5102,81,34,8,5076,133,5086,6,142,0,5123,107,5074,18,138,2,5124,104,22,0.12,4.3,2.0326,20.9239
gob,6,2017,0,0.0149,0.56,376,3,373,24,0,3,0,26,0,17,43,224,74,32,330,0,0,21,81,274,26,0,0,14,342,1,17,6,317,53,352,24,94,58,224,85,290,1,382,5,13,3,262,111,355,21,0,0,267,109,14,0.59,10.1,4.5994,16.0840
mrn,6,2017,1,0.0969,0,543,15,528,299,1,13,1,64,0,13,77,351,4,94,449,2,0,1,21,520,64,0,2,310,450,2,13,4,369,169,520,22,81,109,352,2,538,2,825,13,3,15,427,101,538,4,1,1,433,109,18,0.51,6.8,4.1132,18.6750
ral,6,2017,1,0.0153,0,424,24,400,21,0,24,0,206,1,0,207,63,16,112,191,2,0,177,18,229,206,0,0,37,200,1,1,11,238,175,408,16,73,287,64,5,408,11,403,34,8,24,270,130,249,169,6,1,271,152,20,0.63,11.4,2.2702,15.8112
rau,6,2017,1,0.0153,0,775,28,747,62,8,20,0,24,0,390,414,264,7,55,326,5,2,405,36,334,24,2,0,70,349,2,390,15,672,88,362,413,31,479,265,388,381,6,414,25,398,28,671,76,354,418,3,10,683,82,20,0.54,9.6,2.9149,15.8447
ref,6,2017,2,1.7515,0.52,17549,19,17530,90,0,19,0,17013,0,1,17014,89,365,30,484,3.75,28.75,1,359,17135,17013.75,3.75,25,74,521,0,1,5,428,17063,17483,12.5,17365,37.5,92.5,304,17158,34,17564,24,51,18.75,17130,400,17498,4,48,3.75,17106,439,24,0.07,3.3,8.5865,19.8839
rom,6,2017,0,0.0147,0,562,23,539,19,18,5,0,56,4,223,283,196,7,52,255,0,1,270,87,204,56,0,5,21,274,0,225,32,446,83,282,279,29,358,174,227,305,29,287,16,278,23,454,85,269,278,15,24,478,60,23,0.65,12.8,2.0400,16.0523
sau,6,2017,2,0.0962,0.52,4562,0,4562,0,0,0,0,4352,0,0,4352,28,60,99,187,1,22,3,138,4367,4353,2,18,0,187,2,0,2,56,4451,4465,43,4377,122,10,3,4375,131,4435,5,122,0,4396,166,4441,3,118,2,4381,179,21,0.13,4.5,4.1153,21.7913
sjo,6,2017,0,0.1237,0,592,17,575,14,0,17,0,17,1,43,61,447,11,11,469,3,42,39,40,510,17,0,40,29,476,0,44,10,545,34,532,57,79,58,452,39,543,7,550,20,36,17,543,32,552,38,2,1,510,81,23,0.42,11.3,3.1504,17.0491
sol,6,2017,0,0.1526,,847,1,846,24,0,1,0,189,0,271,460,259,2,104,365,21,0,239,123,484,189,0,0,24,388,0,270,5,607,234,545,301,131,458,257,180,662,4,687,3,181,1,735,111,587,260,0,1,739,107,17,0.69,8.8,3.6096,15.6480
sou,6,2017,0,0.1526,0,668,1,667,4,0,1,0,106,1,88,195,397,4,56,457,15,0,147,42,479,106,0,0,4,475,0,87,5,579,84,560,108,32,238,398,71,595,2,598,3,71,1,604,63,504,163,1,2,605,61,18,0.51,8.6,5.0701,15.4146
srl,6,2017,2,0.0958,0.52,376,298,78,294,2,296,0,20,0,0,20,22,16,13,51,0,7,0,17,356,20,2,5,574,68,1,0,0,40,333,371,2,336,15,22,12,360,1,369,297,4,298,47,31,372,2,2,4,42,330,14,0.50,7.8,4.0435,19.4419
sru,6,2017,1,0.0958,0,233,85,148,174,0,85,0,29,0,2,31,43,12,59,114,3,0,18,16,197,29,0,0,229,147,0,2,3,63,165,223,8,116,72,43,12,219,0,319,86,2,85,74,74,220,13,0,0,77,156,15,0.70,10.6,2.1436,19.0411
syc,6,2017,1,0.0145,0,567,24,543,193,1,23,0,174,0,4,178,313,22,13,348,0,17,3,20,526,174,0,17,216,348,1,4,12,328,209,525,24,217,23,309,5,541,3,714,42,4,24,496,47,563,4,0,1,491,75,18,0.56,8.8,5.1866,18.8586
sys,6,2017,0,0.0147,0,577,26,551,114,0,26,0,75,0,317,392,113,13,32,158,0,1,353,53,171,75,1,0,140,162,0,313,14,472,91,243,334,70,393,114,314,249,14,303,34,354,26,500,51,189,353,35,5,501,71,22,0.58,10.7,1.4104,16.1443
taj,6,2017,0,0.1554,0,4005,53,3952,168,0,53,0,2997,0,0,2997,407,58,65,530,1,424,0,46,3945,2997,0,424,219,532,1,0,0,877,3114,3989,2,3518,66,407,43,3946,2,4118,53,2,53,3829,123,4004,1,0,0,3405,600,16,0.40,7.6,7.2760,19.5463
bgu,6,2018,2,0.0093,0,550,45,505,103,33,12,0,100,0,26,126,130,16,204,350,0,29,5,97,435,100,0,29,115,379,4,26,10,194,334,470,67,142,256,140,2,495,41,575,29,49,45,275,230,510,38,2,33,256,261,19,0.72,11.6,4.5708,16.5400
csp,6,2018,3,0.0921,0.25,1463,0,1463,179,0,0,0,1105,0,2,1107,41,189,1,231,0,125,6,449,939,1234,0,0,179,225,1,1,23.8,270,1106,1200,193.8,1288,71,40,97,1141,162,1284,74,284,0,1238,225,1254,2,207,1,1147,315,24,0.55,11.0,6.4867,20.4366
ecm,6,2018,3,0.0909,0,1519,0,1519,101,0,0,0,843,0,5,848,68,52,4,124,1,546,10,1332,150,1112,269,0,101,133,0,5,5,382,1097,1175,317,1407,16,69,23,1363,98,313,38,1268,0,1165,354,493,8,1018,269,917,333,26,0.62,12.3,3.3914,17.6387
gob,6,2018,3,0.0934,0.08,231,0,231,4,0,0,0,200,0,0,200,16,12,1,29,0,2,4,137,88,201,2,0,4,27,1,0,2,25,202,210,19,212,0,17,6,193,30,105,1,129,0,200,31,103,0,128,2,216,13,13,0.62,9.3,2.7337,18.1922
mrn,6,2018,1,0.0095,0.17,401,56,345,58,14,32,10,3,0,11,14,153,16,155,324,0,7,3,29,359,13,0,12,87,324,12,11,1,202,188,367,24,56,173,162,3,379,9,384,49,26,56,175,170,374,17,10,14,184,203,17,0.64,10.6,2.8389,17.0863
ral,6,2018,1,0.0028,0,403,2,401,11,0,2,0,22,0,11,33,172,14,173,359,6,3,29,20,352,23,1,1,11,364,3,11,15,208,178,364,37,16,211,174,14,378,9,386,12,16,2,204,197,367,34,2,1,211,191,23,0.50,11.0,3.9268,16.4308
rau,6,2018,1,0.0028,0,316,30,286,8,2,28,0,6,0,7,13,195,2,76,273,0,0,15,15,286,6,0,0,33,278,0,7,15,194,107,291,25,29,93,194,10,302,4,280,34,10,30,194,92,302,14,0,2,208,106,14,0.54,8.8,3.5676,18.1848
ref,6,2018,2,0.2656,0,1156,320,836,32,0,320,0,457,0,4,461,150,78,145,373,2,0,1,64,1071,457,2,0,351,372,5,1,4,212,920,1112,24,837,154,145,54,1073,9,854,328,6,320,599,237,1150,5,1,1,612,543,26,0.54,9.2,5.0175,19.5243
rom,6,2018,3,0.0915,0,538,0,538,314,0,0,0,368,0,11,379,14,122,0,136,0,23,16,311,187,390,5,1,314,130,1,11,20,121,372,452,62,460,40,14,81,380,52,588,30,234,0,398,140,310,12,216,5,393,140,23,0.61,11.6,3.1454,17.8022
sau,6,2018,2,0.0096,0.08,371,134,237,450,0,134,0,11,0,0,11,179,10,4,193,0,33,0,9,358,11,0,31,584,194,1,0,1,217,149,353,14,183,15,169,6,358,3,685,136,0,134,222,15,371,0,0,0,190,181,15,0.49,6.7,1.6681,19.5044
sjo,6,2018,0,0.0090,0,714,20,694,5,1,19,0,130,0,125,255,354,13,61,428,0,11,30,167,517,131,0,10,26,418,9,125,14,493,207,514,200,171,187,356,30,630,54,657,29,33,20,610,84,682,32,0,2,609,103,18,0.58,9.8,4.9078,18.4010
sou,6,2018,0,0.0152,0,756,0,756,1,0,0,0,168,1,172,341,264,7,136,407,1,7,263,126,366,172,0,1,9,405,0,170,38,534,183,491,264,62,435,258,143,567,45,591,2,164,0,578,178,489,267,0,5,609,142,22,0.61,9.7,3.0987,16.0953
srl,6,2018,2,0.0098,0.08,568,309,259,284,0,305,4,1,0,0,1,245,7,2,254,0,4,0,5,557,5,0,4,589,254,0,0,2,252,308,560,2,315,2,245,3,559,0,541,311,0,309,250,9,564,0,4,0,250,318,10,0.53,4.5,5.9760,19.5000
sru,6,2018,1,0.0098,0,565,363,202,48,0,363,0,37,0,0,37,65,18,81,164,0,1,36,13,513,37,0,1,406,157,12,0,10,107,445,540,22,380,117,65,2,560,0,235,377,1,363,94,108,528,36,1,0,102,463,14,0.53,8.0,1.3838,19.0888
syc,6,2018,1,0.0027,0,651,91,560,79,2,87,2,22,0,5,27,306,65,57,428,0,105,4,41,566,24,0,105,167,409,22,3,34,413,164,548,63,237,69,305,2,606,3,575,150,5,91,407,153,642,7,2,4,333,314,20,0.66,10.8,4.2839,19.2149
sys,6,2018,3,0.0912,0,2553,0,2553,300,0,0,0,2329,0,1,2330,29,176,2,207,0,16,2,211,2304,2342,1,0,303,205,1,1,9,177,2330,2468,49,2478,10,29,134,2351,31,2772,8,73,0,2347,206,2492,2,59,1,2359,193,23,0.27,6.1,5.5829,18.9686
taj,6,2018,0,0.0141,0,1215,56,1159,60,24,32,0,159,0,0,159,146,39,303,488,1,511,0,54,1156,159,0,510,94,496,16,0,6,695,509,1189,21,739,320,151,20,1179,11,1194,47,34,56,811,348,1189,26,0,24,306,885,23,0.59,10.3,2.9709,16.5672
bgu,6,2020,2,0.0362,0,448,20,428,54,1,19,0,15,0,81,96,204,21,104,329,0,3,26,92,325,17,0,1,83,317,4,80,15,296,132,331,112,47,196,200,21,409,13,436,27,39,20,307,121,411,36,1,2,299,147,24,0.61,11.9,3.5204,17.8169
csp,6,2020,3,0.0491,0,803,0,803,154,0,0,0,748,0,0,748,1,23.84,11,35.84,0,20,64,693,32,748.6,19,0,154,33.84,2,0,2.12,25,770,783,6,784,4,9,13,410,374,261,10,687,0,749,54.84,126,0,678,19,749,36,17,0.56,8.4,3.4030,19.8199
ecm,6,2020,3,0.0458,0,1677,0,1677,208,0,0,0,1520,0,46,1566,9,25,61,95,0,16,42,1505,129,1529,7,0,209,95,1,44,12,138,1525,1597,79,1547,110,19,52,312,1311,377,13,1495,0,1579,98,206,45,1426,5,1575,97,25,0.40,8.5,3.1734,21.3581
ral,6,2020,1,0.0064,0,461,1,460,14,1,0,0,78,0,227,305,94,3,48,145,8,2,282,57,122,76,3,0,13,160,0,223,20,374,67,202,259,23,344,94,221,226,14,227,8,240,1,390,70,157,289,15,6,405,50,26,0.59,12.7,2.3016,15.9068
ref,6,2020,2,0.0545,0,1907,137,1770,208,0,137,0,977,0,178,1155,119,374,113,606,1,8,43,604,816,981.3,1,0,350,576,29,178,6,679,1192,1239,224,1444,310,123,334,1416,127,1375,585,155,137,1284,486,1746,47,114,1,1277,629,31,0.71,14.1,4.6422,19.9388
rom,6,2020,3,0.0471,0,2096,0,2096,361,0,0,0,1929,4,2,1935,3,74,11,88,0,73,5,2061,20,1941,62,0,361,88,1,4,2,94,1990,2067,19,2070,2,14,61,392,1633,442,3,2012,0,1947,149,105,6,1985,66,1933,97,17,0.40,6.2,4.8188,21.2550
sau,6,2020,2,0.0361,0.17,463,7,456,53,0,7,0,98,0,4,102,215,14,7,236,0,118,0,162,300,217,0,0,59,234,2,4,1,349,112,320,142,236,12,214,10,432,20,381,7,128,7,432,24,454,0,9,0,317,146,20,0.62,10.3,1.7591,19.5121
sou,6,2020,0,0.0532,0,681,0,681,9,0,0,0,227,1,203,431,133,30,80,243,7,0,297,181,203,211,0,0,48,230,0,201,5,520,156,415,266,125,430,126,167,470,44,423,5,262,0,584,97,319,321,41,3,595,83,24,0.72,13.9,3.1396,16.1934
srl,6,2020,2,0.0378,0.17,330,79,251,652,0,79,0,17,0,3,20,189,16,23,228,0,3,6,19,304,17,4,0,731,220,8,2,5,207,118,313,16,111,30,189,10,320,0,886,88,8,79,203,48,318,7,5,3,209,118,15,0.41,6.8,4.4230,19.0934
sru,6,2020,1,0.0336,0,245,32,213,28,0,32,0,34,0,29,63,106,10,33,149,1,0,34,50,159,34,0,0,61,148,1,29,23,137,83,179,64,58,79,106,17,217,9,217,36,20,32,156,57,208,37,0,0,170,75,18,0.77,13.1,2.0012,17.7169
sys,6,2020,3,0.0477,0,579,0,579,101,0,0,0,520,0,0,520,20,24,4,48,0,11,0,544,32,522,9,0,101,48,0,0,2,44,530,552,24,552,1,23,19,57,500,155,0,525,0,523,56,59,0,520,9,540,30,14,0.39,7.3,2.5738,21.9643
