1,Sitetime,Stream,code,Month,year,YrMo,Stream#,Date,Fire,Rip M-H burn,Rip burn,Basin M-H burn,Basin burn,burn debris,BurnDfRef,trout,Burntrtref,Burn trout,Burn trout  w all,yrs code,StreamDried,NEW Gage,SAN JOSE DISCHARGE,SAN JOSEAvg Daily Disch,SAN JOSE Max disch,DOSD Nr nrst gage,Avg Daily Disch  Nr nrst gage,Max disch  Nr nrst gage,Cumulative Junes dry,Preceding Yr Dry  Duration (ys),Time since dry,Elevation,Latitude,Longitude,yrs since burned,yrs since Disturbance,avg % canopy cover,Max Depth,Avg Max depth,Avg Sed. Depth, temp,DO,FLOW,Conductivity,Leaf CPOM wet wt,Algae CPOM wet wt,Nitella aquatic veg CPOM wet wt,Total inverts,Total non-insects,Total insects,Total amphibians,Turbellaria,Mollusks ,Crustacea,Ephemerop,Plecoptera,Trichoptera,EPT,Odonata,Coleoptera,Hemiptera,OCH,Megaloptera ,Diptera,Sensitive,Medium,Tolerant,Coll-gath,Coll-filt,Filter-lent,Grazer,Predator,Piercer,Shredder,Semi,Uni,Multi,Fast seas,Non-seas,small,medium,large,Cold steno,Cool/warm eury,Warm eury,Pool,Mixed,Riffle,No wings,Weak flght,Strong flght,Rare drift,Occ-com drift,Abund drift,Cut resp,Gills,Atmospheric,Taxa richness,Pielou's J,rarified # taxa,Biotic index,Thermal index,NMS1,NMS2,NMS3,NMS1 13-20,NMS2 13-20,NMS3 13-20,pH,CPOM PH,CPOM PS,FPOM PH,FPOM PS,PH  AFDM(Org),PH Inorg Sed.,PS  AFDM(Org),PS Inorg Sed.,Pool Soft Chl a,Pool Hard Chl a,Av Curr vel  PH,Av Curr vel  PS,Av Depth  PH,Av Depth  PS,Clad PH,Clad PS,Macro PH,Macro PS
16,20093mrn,Mission at Rocky Nook,mrn,3,2009,20093,18,3/27/09,Tea,0.00,0.00,0.02,0.10,0,0,1,01,1,4,4,1,Mission,0.0125,0.0260,0.5267,0.0040,0.0148,0.3341,,0,,129,34.443747,-119.709493,91.75,91.8,91.22,0.66,0.40,,12.90,8.79,,909.00,,,,448,3,445,0,1,2,0,260,0,167,427,7,11,0,18,0,0,307,124,9,257,0,0,10,18,0,163,2,311,135,270,170,147,288,13,57,382,9,372,11,65,3,437,8,255,191,2,5,434,9,20,0.59,9.9,1.3266,15.3505,0.84908,-0.6369,-0.55221,,,,8.11,3.5,16.4,1.0,4.9,0.974,3.609,4.114,16.728,14.22,15.48,0.008,0.012,0.19,0.26,0.0,0.2,0.0,0.2
13,20093bgu,Mission SBBG upper,bgu,3,2009,20093,16,3/24/09,,0.00,0.00,0.00,0.00,0,0,0,00,0,0,4,1,Mission ,0.0153,0.0262,0.5267,0.0054,0.0150,0.3341,,0,,232,34.460483,-119.710120,91.75,47.3,92.43,0.50,0.30,,10.30,9.70,,804.00,,,,565,8,557,0,0,8,0,143,0,336,479,27,42,7,76,0,2,335,173,39,138,0,0,42,40,12,333,1,463,101,177,370,145,389,31,222,315,28,236,47,282,8,525,32,258,294,13,4,530,31,23,0.68,14.7,1.2728,16.1530,0.89314,-0.23792,-0.22661,,,,7.98,1.3,15.9,0.2,6.4,0.346,1.018,5.836,26.618,23.73,6.43,0.056,0.038,0.16,0.26,0.0,0.0,0.0,0.0
18,20093rau,Rattlesnake upper,rau,3,2009,20093,20,3/23/09,,0.00,0.00,0.00,0.00,0,0,1,01,1,1,4,1,RS02,0.0164,0.0262,0.5267,0.0110,0.0149,0.1337,,0,,476,34.470763,-119.688856,44.5,44.5,99.46,0.97,0.70,,12.20,9.79,,798.00,,,,527,4,523,0,2,2,0,46,1,452,499,20,4,0,24,0,0,501,22,4,46,0,0,5,24,0,452,13,500,14,57,470,17,492,18,459,66,2,51,12,464,4,506,17,32,491,4,4,520,3,16,0.25,6.8,0.8522,15.7056,1.35913,-0.06756,0.22602,,,,8.31,10.5,140.8,3.4,58.3,2.209,3.865,5.359,10.448,25.55,15.73,0.018,0.022,0.37,0.67,0.0,2.6,0.0,2.6
19,20093ref,Refugio,ref,3,2009,20093,6,3/28/09,,0.00,0.00,0.00,0.00,0,0,0,00,0,0,4,1,HO00,0.0127,0.0259,0.5267,0.0030,0.0066,0.1461,,0,,126,34.506218,-120.064933,53.5,53.5,85.14,0.70,0.48,,13.50,9.43,,699.00,,,,982,24,958,0,0,24,0,267,0,473,740,12,157,38,207,8,3,590,313,77,254,0,0,84,178,0,466,5,882,93,487,493,229,743,8,481,493,6,496,31,455,24,797,161,353,606,23,0,798,184,26,0.61,12.5,1.4093,15.7808,0.877,-0.18847,-0.04699,,,,8.25,2.2,13.8,0.5,9.5,0.947,4.574,7.146,54.351,14.79,0.17,0.018,0.006,0.23,0.32,0.0,0.0,0.0,0.0
20,20093rom,Romero,rom,3,2009,20093,25,3/21/09,,0.00,0.00,0.00,0.00,0,0,0,00,0,0,4,1,RS02,0.0144,0.0263,0.5267,0.0114,0.0150,0.1337,0,0,,360,34.458571,-119.591069,37.45,37.45,91.62,0.60,0.38,,12.50,9.53,,624.00,,,,975,26,949,0,26,0,0,202,8,580,790,123,22,13,158,0,1,623,326,18,170,2,0,43,199,2,559,71,826,70,252,715,77,803,87,526,399,42,289,116,570,26,837,112,306,635,34,50,891,34,31,0.63,15.9,1.3725,15.8566,1.0841,-0.04778,-0.13515,,,,8.10,2.5,17.8,0.3,10.0,1.759,2.815,10.762,22.206,37.61,4.75,0.092,0.026,0.27,0.28,0.0,0.0,0.0,0.0
21,20093sau,San Antonio upper,sau,3,2009,20093,13,3/28/09,,0.00,0.00,0.00,0.00,0,0,0,00,0,0,4,1,Mission ,0.0127,0.0259,0.5267,0.0037,0.0147,0.3341,,0,,138,34.467248,-119.773120,18.75,18.75,21.22,0.48,0.37,,12.10,8.84,,973.00,,,,546,33,513,97,0,33,0,362,0,17,379,31,87,4,122,1,11,318,84,125,366,0,0,140,108,12,17,24,310,193,461,66,254,249,24,37,475,15,542,73,28,33,424,89,325,208,13,0,413,133,26,0.69,15.2,1.8327,15.9201,-0.21654,-0.756,0.17969,,,,8.05,2.1,6.3,0.8,1.7,0.992,5.955,3.086,33.455,11.58,15.92,0.016,0.034,0.12,0.28,0.0,0.0,39.8,31.4
22,20093sjo,San Jose,sjo,3,2009,20093,10,3/26/09,,0.00,0.00,0.00,0.00,0,0,1,01,1,1,4,1,San Jose,0.0119,0.0260,0.5267,0.0119,0.0260,0.5267,,0,,321,34.492925,-119.803048,53.5,53.5,85.54,0.90,0.74,,11.40,10.17,,717.00,,,,253,24,229,0,0,24,0,63,1,137,201,10,16,0,26,1,1,171,51,30,63,0,0,28,26,0,136,7,179,66,106,146,84,143,25,105,132,15,122,28,103,24,211,18,118,132,3,3,212,38,21,0.69,13.5,0.9003,16.3408,0.76723,-0.30263,-0.14501,,,,8.36,1.4,14.6,0.3,3.8,0.848,3.952,3.194,17.485,17.28,9.51,0.034,0.016,0.32,0.48,0.4,0.0,0.4,0.0
23,20093sou,San Onofre upper,sou,3,2009,20093,2,4/4/09,Gaviota,0.00,0.00,0.00,0.00,0,0,0,00,0,0,3,1,HO00,0.0074,0.0253,0.5267,0.0015,0.0065,0.1461,0,0,,94,34.481451,-120.189003,4.75,4.75,86.49,1.12,0.82,,11.70,9.78,,797.00,,,,809,2,807,0,1,1,0,402,7,158,567,36,135,59,230,1,9,446,250,110,368,0,0,95,185,7,153,18,668,121,597,210,238,539,30,204,586,17,517,48,243,2,649,158,321,467,21,13,642,154,36,0.68,17.8,2.2726,15.5717,0.58426,-0.60789,-0.00706,,,,8.26,2.2,4.5,0.3,1.2,0.227,0.568,3.183,22.585,15.09,7.76,0.008,0,0.28,0.66,4.0,0.0,4.0,0.0
24,20093sys,San Ysidro,sys,3,2009,20093,24,3/21/09,,0.00,0.00,0.00,0.00,0,0,1,01,1,1,4,1,RS02,0.0144,0.0263,0.5267,0.0114,0.0150,0.1337,0,0,,199,34.452924,-119.621784,91.75,44.5,76.49,0.75,0.43,,12.90,9.80,,603.00,,,,280,13,267,0,1,12,0,71,6,121,198,46,19,0,65,0,4,177,89,14,69,0,0,28,72,0,111,26,195,59,101,179,86,170,24,140,112,28,56,37,187,13,229,38,102,150,28,16,234,30,31,0.70,18.7,0.7904,16.7005,1.07577,-0.30092,0.07625,,,,8.35,2.2,36.3,0.8,7.1,0.974,5.901,5.987,33.650,45.53,18.47,0.036,0.046,0.24,0.27,0.0,0.6,0.0,0.6
25,20096aho,Arroyo Hondo,aho,6,2009,20096,3,6/22/09,Gaviota,0,0,0,0,0,0,1,01,1,1,2,1,HO00,0.0037,0.0201,0.5267,0.0005,0.0050,0.1461,0,0,,75,34.489907,-120.143013,5,5,92.2,1.2,0.908,,16,8.24,,825,,,,135,0,135,0,0,0,0,42,2,65,109,7,7,1,15,9,2,75,50,8,40,0,0,7,21,0,66,4,96,34,53,81,46,81,7,43,88,3,84,1,49,0,125,10,77,58,0,3,125,7,19,0.73,15.4,0.3415,15.8540,0.74293,-0.31485,-0.49664,,,,8.01,1.2,8.4,0.1,3.2,0.546,1.256,2.923,10.610,17.98,4.67,0.00,0.00,0.36,0.56,0.0,0.0,3.8,0.0
28,20096ecm,El Capitan usual,ecm,6,2009,20096,8,6/22/09,,0,0,0,0,0,0,0,00,0,0,4,1,HO00,0.0037,0.0201,0.5267,0.0005,0.0050,0.1461,0,0,,124,34.482938,-120.017658,53.75,53.75,71.2,0.3,0.22,,15.3,2.9,,706,,,,445,172,273,18,0,172,0,20,0,78,98,17,8,132,157,18,0,44,66,331,20,0,0,193,175,2,73,2,123,316,339,102,188,238,15,35,401,5,245,178,40,172,131,142,381,64,0,5,128,312,17,0.71,12.1,2.4836,16.0644,0.12647,0.78276,-0.61441,,,,6.94,8.3,8.6,1.0,2.7,0.707,1.530,3.970,6.677,14.48,6.55,0.00,0.00,0.09,0.17,0.0,0.0,0.0,0.0
32,20096ref,Refugio,ref,6,2009,20096,6,6/21/09,,0.00,0.00,0.00,0.00,0,0,0,00,0,0,4,1,HO00,0.0034,0.0202,0.5267,0.0004,0.0051,0.1461,0,0,,126,34.506218,-120.064933,53.75,53.75,94.6,0.5,0.396,,17.6,8.37,,741,,,,750,43,707,4,1,42,0,35,0,111,146,43,202,228,473,88,0,67,372,311,29,0,0,101,512,3,109,4,478,268,542,208,250,454,46,187,559,4,609,47,98,43,321,386,586,164,0,3,323,424,22,0.71,12.3,2.9490,17.0780,0.19427,0.82986,-0.36957,,,,8.34,2.4,11.6,0.9,6.9,0.974,3.916,5.630,34.321,20.96,10.18,0.01,0.00,0.16,0.17,0.0,0.0,0.0,0.0
33,20096rom,Romero,rom,6,2009,20096,25,6/15/09,,0.00,0.00,0.00,0.00,0,0,0,00,0,0,4,1,RS02,0.0125,0.0205,0.5267,0.0109,0.0134,0.1337,0,0,,360,34.458571,-119.591069,37.67,37.67,96.6,0.5,0.366,,14.3,9.06,,657,,,,993,12,981,1,12,0,0,76,1,282,359,530,40,50,620,0,2,695,220,73,54,1,0,25,628,4,282,407,515,66,186,802,62,459,467,673,247,68,189,443,362,12,443,538,650,337,6,15,887,91,27,0.60,13.1,1.3286,16.5974,1.11929,0.34695,-0.04888,,,,8.23,4.5,13.3,1.6,9.3,0.974,2.165,6.929,30.748,43.14,5.45,0.03,0.00,0.13,0.26,0.0,0.0,0.0,0.0
35,20096sjo,San Jose,sjo,6,2009,20096,10,6/19/09,,0.00,0.00,0.00,0.00,0,0,1,01,1,1,4,1,San Jose,0.0031,0.0203,0.5267,0.0031,0.0203,0.5267,0,0,,321,34.492925,-119.803048,53.75,53.75,96.2,1.1,0.834,,15.3,8.61,,861,,,,274,21,253,0,0,21,0,122,1,71,194,44,11,0,55,3,1,184,59,31,122,0,0,29,53,0,70,34,125,115,162,112,129,99,46,66,200,8,178,43,53,21,213,40,194,78,2,3,242,29,22,0.73,14.6,1.9115,16.5711,0.59174,-0.47139,-0.40465,,,,8.42,0.9,10.8,0.6,4.4,0.650,1.768,5.197,16.998,18.91,6.42,0.03,0.01,0.53,0.30,0.0,0.0,0.0,0.0
36,20096sou,San Onofre upper,sou,6,2009,20096,2,6/21/09,Gaviota,0.00,0.00,0.00,0.00,0,0,0,00,0,0,3,1,HO00,0.0034,0.0202,0.5267,0.0004,0.0051,0.1461,0,0,,94,34.481451,-120.189003,5,5,90.4,1.1,0.798,,16,8.92,,879,,,,665,0,665,4,0,0,0,184,1,141,326,99,129,72,300,36,3,181,287,194,167,0,0,78,270,15,138,21,534,108,432,231,192,368,103,108,540,15,495,23,150,0,492,173,430,232,3,5,515,145,32,0.76,16.9,2.9116,15.9301,0.22394,0.08327,-0.44228,,,,8.28,1.5,5.0,0.4,1.6,0.722,3.212,3.140,19.164,34.49,13.38,0.01,0.01,0.19,0.53,0.0,0.0,0.0,0.0
