1,Sitetime,Stream,code,Month,year,YrMo,Stream#,Date,Fire,Rip M-H burn,Rip burn,Basin M-H burn,Basin burn,burn debris,BurnDfRef,trout,Burntrtref,Burn trout,Burn trout  w all,yrs code,StreamDried,NEW Gage,SAN JOSE DISCHARGE,SAN JOSEAvg Daily Disch,SAN JOSE Max disch,DOSD Nr nrst gage,Avg Daily Disch  Nr nrst gage,Max disch  Nr nrst gage,Cumulative Junes dry,Preceding Yr Dry  Duration (ys),Time since dry,Elevation,Latitude,Longitude,yrs since burned,yrs since Disturbance,avg % canopy cover,Max Depth,Avg Max depth,Avg Sed. Depth, temp,DO,FLOW,Conductivity,Leaf CPOM wet wt,Algae CPOM wet wt,Nitella aquatic veg CPOM wet wt,Total inverts,Total non-insects,Total insects,Total amphibians,Turbellaria,Mollusks ,Crustacea,Ephemerop,Plecoptera,Trichoptera,EPT,Odonata,Coleoptera,Hemiptera,OCH,Megaloptera ,Diptera,Sensitive,Medium,Tolerant,Coll-gath,Coll-filt,Filter-lent,Grazer,Predator,Piercer,Shredder,Semi,Uni,Multi,Fast seas,Non-seas,small,medium,large,Cold steno,Cool/warm eury,Warm eury,Pool,Mixed,Riffle,No wings,Weak flght,Strong flght,Rare drift,Occ-com drift,Abund drift,Cut resp,Gills,Atmospheric,Taxa richness,Pielou's J,rarified # taxa,Biotic index,Thermal index,NMS1,NMS2,NMS3,NMS1 13-20,NMS2 13-20,NMS3 13-20,pH,CPOM PH,CPOM PS,FPOM PH,FPOM PS,PH  AFDM(Org),PH Inorg Sed.,PS  AFDM(Org),PS Inorg Sed.,Pool Soft Chl a,Pool Hard Chl a,Av Curr vel  PH,Av Curr vel  PS,Av Depth  PH,Av Depth  PS,Clad PH,Clad PS,Macro PH,Macro PS
37,20096sys,San Ysidro,sys,6,2009,20096,24,6/15/09,,0.00,0.00,0.00,0.00,0,0,1,01,1,1,4,1,RS02,0.0125,0.0205,0.5267,0.0109,0.0134,0.1337,0,0,,199,34.452924,-119.621784,92.00,44.75,84.7,0.7,0.466,,15.5,8.92,,651,,,,374,8,366,2,0,8,0,19,0,149,168,111,84,0,195,0,3,176,176,15,20,0,0,28,178,1,148,43,314,11,86,282,92,240,36,223,73,72,97,40,238,8,263,103,214,160,0,1,287,86,22,0.67,14.1,1.4323,17.7751,1.18399,0.1548,-0.34442,,,,8.26,2.1,22.9,0.5,10.3,1.624,5.125,4.222,17.215,24.48,18.91,0.06,0.07,0.27,0.27,0.0,0.0,0.0,0.0
38,20099aho,Arroyo Hondo,aho,9,2009,20099,3,9/18/09,Gaviota,0,0,0,0,0,0,1,01,1,1,3,1,HO00,0.0025,0.0164,0.5267,0.0001,0.0040,0.1461,,0,,75,34.489907,-120.143013,5.03,5.03,93.1,1.4,0.9,,17.2,4.92,,831,,,,160,1,159,0,1,0,0,65,0,49,114,0,7,0,7,1,37,60,48,52,65,0,37,6,6,0,46,0,143,17,110,50,60,100,0,8,152,0,143,3,14,1,158,1,102,58,0,1,121,38,11,0.73,9.3,0.9295,15.6030,,,,,,,7.74,1.6,43.0,0.1,4.0,0.785,2.314,1.841,9.690,14.96,10.12,0.01,0.02,0.28,0.64,0.0,0.0,0.0,1.1
45,20099ref,Refugio,ref,9,2009,20099,6,9/16/09,,0.00,0.00,0.00,0.00,0,0,0,00,0,0,4,1,HO00,0.0031,0.0165,0.5267,0.0003,0.0040,0.1461,,0,,126,34.506218,-120.064933,53.78,53.78,94.7,0.4,0.3,,17.2,7.84,,17.6,,,,598,14,584,0,0,14,0,64,0,198,262,17,174,53,244,28,50,62,389,147,65,0,49,42,237,7,198,22,499,77,340,258,249,331,18,128,469,1,535,25,38,14,381,203,506,92,0,1,333,264,22,0.71,13.6,2.1017,16.2413,,,,,,,8.42,1.7,16.3,0.1,5.1,0.502,1.750,4.417,23.213,13.16,0.53,0.01,0.02,0.24,0.27,0.0,0.0,0.0,0.0
46,20099rom,Romero,rom,9,2009,20099,25,9/15/09,,0.00,0.00,0.00,0.00,0,0,0,00,0,0,4,1,RS02,0.0040,0.0165,0.5267,0.0100,0.0123,0.1337,0,0,,360,34.458571,-119.591069,37.70,37.70,98.6,0.5,0.4,,17.4,8.06,,756,,,,924,23,901,2,23,0,0,106,0,389,495,288,52,64,404,2,0,546,299,79,106,0,0,9,424,3,384,249,594,81,240,684,55,603,266,481,403,40,392,254,280,23,543,358,580,341,3,24,785,115,22,0.67,12.1,1.1073,15.9481,,,,,,,8.15,5.8,12.2,1.3,6.1,0.947,1.272,4.850,7.536,17.57,5.95,0.01,0.00,0.17,0.31,0.0,0.0,0.0,6.2
48,20099sjo,San Jose,sjo,9,2009,20099,10,9/16/09,,0.00,0.00,0.00,0.00,0,0,1,01,1,1,4,1,San Jose,0.0031,0.0165,0.5267,0.0031,0.0165,0.5267,,0,,321,34.492925,-119.803048,53.78,53.78,92.6,1.2,0.8,,16.6,7.28,,895,,,,190,17,173,1,2,15,0,15,0,92,107,25,6,1,32,3,31,44,95,51,14,0,31,22,32,0,92,26,142,22,69,121,58,106,26,34,155,1,132,37,22,17,147,26,162,28,0,2,140,48,16,0.69,12.2,2.1743,16.9205,,,,,,,8.27,3.5,15.9,0.3,1.8,0.668,2.418,4.244,14.984,20.54,7.35,0.02,0.01,0.44,0.45,0.0,0.0,0.0,0.0
49,20099sou,San Onofre upper,sou,9,2009,20099,2,9/18/09,Gaviota,0.00,0.00,0.00,0.00,0,0,0,00,0,0,3,1,HO00,0.0025,0.0164,0.5267,0.0001,0.0040,0.1461,0,0,,94,34.481451,-120.189003,5.03,5.03,91.5,1.1,0.7,,17.3,6.51,,874,,,,719,6,713,0,0,6,0,113,0,237,350,52,194,87,333,11,19,118,413,188,113,0,15,170,158,28,235,11,605,103,421,298,236,429,54,30,676,13,478,38,203,6,579,134,587,132,0,3,573,143,27,0.66,13.8,3.9106,16.5717,,,,,,,7.82,1.8,16.9,0.1,2.4,0.487,1.527,3.898,22.087,20.32,5.08,0.01,0.02,0.30,0.50,0.0,0.0,0.0,0.0
50,20099sys,San Ysidro,sys,9,2009,20099,24,9/15/09,,0.00,0.00,0.00,0.00,0,0,1,01,1,1,4,1,RS02,0.0040,0.0165,0.5267,0.0100,0.0123,0.1337,0,0,,199,34.452924,-119.621784,92.03,44.78,92.2,0.7,0.4,,16.6,5.96,,794,,,,86,11,75,0,2,9,0,1,0,17,18,22,18,0,40,0,17,8,50,28,0,0,17,21,29,2,17,10,65,11,43,43,45,33,8,13,59,14,39,18,29,11,60,15,80,6,0,2,49,35,15,0.85,14.7,1.8790,19.3054,,,,,,,7.54,2.7,10.2,0.4,1.8,1.187,3.537,3.551,13.079,29.98,7.28,0.00,0.01,0.13,0.28,0.0,0.0,14.4,33.2
51,20106aho,Arroyo Hondo,aho,6,2010,20106,3,6/22/10,Gaviota,0,0,0,0,0,0,1,01,1,1,3,1,HO00,0.0139,0.0773,2.6051,0.0003,0.0675,2.6950,0,0,,75,34.489907,-120.143013,5.78,5.78,91.2,1.2,0.81,0.01,15.6,9.99,,765,,,,274,0,274,1,0,0,0,190,0,58,248,4,20,0,24,2,0,202,50,22,190,0,0,1,27,0,57,3,98,173,210,64,193,77,4,70,204,0,207,3,65,0,250,24,190,68,16,1,253,20,15,0.64,10.9,0.9987,15.7976,0.53435,-0.85269,-0.34987,,,,8.31,1.70,6.59,0.60,3.31,2.122,3.145,2.425,8.402,12.26,55.49,0.042,0.040,0.24,0.35,57.2,3.4,57.2,3.4
54,20106ecm,El Capitan usual,ecm,6,2010,20106,8,6/22/10,,0,0,0,0,0,0,0,00,0,0,4,1,HO00,0.0139,0.0773,2.6051,0.0003,0.0675,2.6950,0,0.21,0.67,124,34.482938,-120.017658,54.53,54.53,51.4,0.6,0.41,0.00,13.9,9.95,,536,,,,427,8,419,11,0,8,0,166,0,73,239,12,11,156,179,0,1,99,89,238,165,1,0,23,181,0,68,1,112,313,352,74,169,243,14,77,343,6,275,10,153,8,251,168,261,89,77,6,246,175,20,0.75,13.5,2.3488,16.0687,0.03063,-0.54507,-0.26845,,,,8.13,2.05,4.34,0.53,1.42,1.315,0.974,1.624,6.561,9.79,12.87,0.080,0.044,0.16,0.24,46.4,14.8,46.4,14.8
58,20106ref,Refugio,ref,6,2010,20106,6,6/20/10,,0.00,0.00,0.00,0.00,0,0,0,00,0,0,4,1,HO00,0.0099,0.0778,2.6051,0.0003,0.0681,2.6950,0,0,,126,34.506218,-120.064933,54.53,54.53,87.2,0.7,0.43,0.06,17.2,10.80,,701,,,,655,14,641,102,0,14,0,163,0,88,251,70,146,154,370,16,4,133,285,237,164,4,0,113,392,0,84,5,385,265,544,111,260,324,71,211,441,3,574,15,168,14,333,308,409,152,94,6,335,314,23,0.77,13.9,3.7711,16.1837,-0.08398,-0.06794,0.39799,,,,8.48,1.36,3.78,0.39,2.20,1.376,3.507,4.331,40.926,23.75,23.66,0.046,0.038,0.12,0.25,30.8,14.6,30.8,15.2
59,20106rom,Romero,rom,6,2010,20106,25,6/16/10,,0.00,0.00,0.00,0.00,0,0,0,00,0,0,4,1,RS02,0.0110,0.0789,2.6051,0.0217,0.0429,2.6051,0,0,,360,34.458571,-119.591069,38.45,38.45,89.9,0.8,0.51,0.15,14.5,9.59,,651,,,,536,19,517,9,19,0,0,67,0,242,309,149,23,28,200,0,8,379,118,38,63,7,0,14,222,2,237,122,344,69,149,386,48,356,131,351,166,18,139,118,288,19,337,180,220,294,22,31,455,50,24,0.65,14.5,0.4906,15.8768,0.97688,0.03859,0.15317,,,,8.32,2.12,3.17,0.23,1.98,1.022,1.317,7.416,21.058,18.58,2.28,0.049,0.031,0.21,0.27,1.8,0.0,1.8,0.4
61,20106sjo,San Jose,sjo,6,2010,20106,10,6/21/10,,0.00,0.00,0.00,0.00,0,0,1,01,1,1,4,1,San Jose,0.0119,0.0776,2.6051,0.0119,0.0776,2.6051,0,0,,321,34.492925,-119.803048,54.53,54.53,96.1,1.3,0.97,0.03,13.9,9.66,,780,,,,306,4,302,1,0,4,0,254,5,24,283,15,2,0,17,1,1,253,39,14,254,1,0,4,19,0,29,14,67,225,272,34,232,59,15,24,282,0,261,11,35,4,290,12,231,55,20,6,294,6,16,0.52,10.8,1.3000,15.9384,0.48748,-1.12424,-0.14365,,,,8.46,0.94,3.61,0.11,2.38,0.715,1.251,0.909,4.287,7.20,20.47,0.022,0.014,0.43,0.58,21.0,2.4,21.0,2.4
62,20106sol,San Onofre lower,sol,6,2010,20106,1,6/20/10,Gaviota,0.00,0.00,0.00,0.00,0,0,0,00,0,0,3,1,HO00,0.0099,0.0778,2.6051,0.0003,0.0681,2.6950,0,0,,68,34.478971,-120.189568,5.78,5.78,90.9,0.68,0.45,0.03,15.6,8.46,,904,,,,493,7,486,9,1,6,0,135,2,121,258,48,29,143,220,5,3,211,103,177,111,3,0,57,210,3,118,12,309,170,332,159,75,386,30,118,353,20,290,15,197,7,322,164,230,244,19,9,323,161,25,0.72,15.7,1.5670,16.1809,0.56235,0.14865,0.2698,,,,7.96,3.11,2.28,0.26,0.94,0.173,0.208,1.705,14.210,12.79,2.15,0.028,0.028,0.28,0.34,0.0,0.0,3.0,1.6
64,20106sys,San Ysidro,sys,6,2010,20106,24,6/16/10,,0.00,0.00,0.00,0.00,0,0,1,01,1,1,4,1,RS02,0.0110,0.0789,2.6051,0.0217,0.0429,2.6051,0,0,,199,34.452924,-119.621784,92.78,45.53,91.5,1.0,0.62,0.10,15.8,9.76,,629,,,,196,5,191,0,3,2,0,28,1,108,137,36,14,1,51,0,3,110,80,4,28,3,0,11,47,0,107,11,162,21,45,149,33,151,10,93,68,33,54,4,137,5,172,19,81,107,8,7,175,14,24,0.67,17.2,1.6051,17.1163,1.02059,-0.12181,-0.21497,,,,8.36,2.23,3.39,0.80,1.53,2.182,5.067,1.754,4.222,11.54,8.49,0.036,0.038,0.23,0.40,0.0,0.0,0.0,0.0
