1,Sitetime,Stream,code,Month,year,Stream#,Date,Fire,Rip M-H burn,Rip burn,Basin M-H burn,Basin burn,burn debris,BurnDfRef,trout,Burntrtref,Burn trout,Burn trout  w all,yrs code,StreamDried,NEW Gage,SAN JOSE DISCHARGE,SAN JOSEAvg Daily Disch,SAN JOSE Max disch,DOSD Nr nrst gage,Avg Daily Disch  Nr nrst gage,Max disch  Nr nrst gage,Cumulative Junes dry,Preceding Yr Dry  Duration (ys),Time since dry,Elevation,Latitude,Longitude,yrs since burned,yrs since Disturbance,avg % canopy cover,Max Depth,Avg Max depth,Avg Sed. Depth, temp,DO,FLOW,Conductivity,Leaf CPOM wet wt,Algae CPOM wet wt,Nitella aquatic veg CPOM wet wt,Total inverts,Total non-insects,Total insects,Total amphibians,Turbellaria,Mollusks ,Crustacea,Ephemerop,Plecoptera,Trichoptera,EPT,Odonata,Coleoptera,Hemiptera,OCH,Megaloptera ,Diptera,Sensitive,Medium,Tolerant,Coll-gath,Coll-filt,Filter-lent,Grazer,Predator,Piercer,Shredder,Semi,Uni,Multi,Fast seas,Non-seas,small,medium,large,Cold steno,Cool/warm eury,Warm eury,Pool,Mixed,Riffle,No wings,Weak flght,Strong flght,Rare drift,Occ-com drift,Abund drift,Cut resp,Gills,Atmospheric,Taxa richness,Pielou's J,rarified # taxa,Biotic index,Thermal index,NMS1,NMS2,NMS3,NMS1 13-20,NMS2 13-20,NMS3 13-20,pH,CPOM PH,CPOM PS,FPOM PH,FPOM PS,PH  AFDM(Org),PH Inorg Sed.,PS  AFDM(Org),PS Inorg Sed.,Pool Soft Chl a,Pool Hard Chl a,Av Curr vel  PH,Av Curr vel  PS,Av Depth  PH,Av Depth  PS,Clad PH,Clad PS,Macro PH,Macro PS,,,,,
210,20206aho,Arroyo Hondo,aho,6,2020,3,6/26/20,Gaviota,0.00,0.00,0.00,0.00,0,0,1,01,1,1,4,1,HO00,0.0017,0.0340,2.0954,0.0312,0.0535,1.4743,0,0,,75,34.489907,-120.143013,15.86,15.86,93,1.20,0.87,0.02,18.8,9,7.2,784,86,2,0,242,5,237,0,0,5,0,121,0,92,213,14,10,0,24,0,0,127,80,29,119,0,0,8,25,1,89,5,165,66,131,105,93,131,12,74,134,28,133,6,103,5,222,15,105,114,23,3,225,14,22,0.73,14.5,1.4159,16.8853,0.60153,-0.43272,-0.09894,0.32145,-0.39139,0.99352,,,,,,,,,,,,,,,,,,,,,,,,
27,20096csp,Cold Springs,csp,6,2009,23,6/26/09,Tea,0.00,0.46,0.01,0.08,1,1,1,11,11,2,2,1,RS02,0.0096,0.0199,0.5267,0.0088,0.0133,0.1337,0,0,,234,34.456563,-119.653326,0.58,0.08,94.5,0.6,0.4,,14.9,5.5,,708,,,,542,15,527,24,5,10,0,210,0,259,469,40,9,6,55,2,1,326,36,180,207,0,1,41,59,1,257,10,363,169,263,279,173,333,36,265,269,8,268,16,282,15,505,22,213,326,3,7,513,22,23,0.56,12.0,2.0000,15.8096,0.33063,-0.28751,-0.24141,,,,7.22,6.2,41.8,2.7,11.2,1.689,1.472,8.337,15.049,28.87,9.97,0.00,0.01,0.17,0.20,2.4,4.0,2.4,4.0,,,,,
53,20106csp,Cold Springs,csp,6,2010,23,6/17/10,Tea,0.00,0.46,0.01,0.08,1,1,0,10,10,2,2,1,RS02,0.0108,0.0786,2.6051,0.0179,0.0428,2.6051,0,0.21,0.67,234,34.456563,-119.653326,1.36,0.86,92.6,0.2,0.19,0.15,15.1,9.81,,596,,,,158,0,158,40,0,0,0,123,0,16,139,1,8,3,12,1,6,80,75,3,123,6,0,35,24,0,10,3,39,116,139,19,121,35,2,17,137,4,120,0,78,0,140,18,64,33,61,12,135,11,16,0.73,12.3,1.8759,16.9441,-0.05896,-1.02333,0.51715,,,,8.50,2.29,3.33,0.38,1.81,1.016,12.912,1.178,6.847,8.28,6.27,0.082,0.128,0.09,0.10,40.6,21.0,40.6,21.0,,,,,
67,20116csp,Cold Springs,csp,6,2011,23,6/25/11,Tea,0.00,0.46,0.01,0.08,1,1,0,10,10,2,2,1,RS02,0.0125,0.2040,17.2166,0.0179,0.0611,1.5659,0,0,1.67,234,34.456563,-119.653326,2.36,1.86,86.6,1.1,0.79,0.05,17.2,9.24,,525,,,,351,0,351,7,0,0,0,207,1,111,319,7,4,21,32,0,0,188,134,29,206,0,0,2,40,0,110,3,168,180,238,113,165,177,9,113,224,14,113,2,243,0,326,25,64,158,129,3,323,25,18,0.66,11.0,1.3579,16.3861,0.64169,-0.61298,0.38476,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,20126csp,Cold Springs,csp,6,2012,23,6/26/12,Tea,0.00,0.46,0.01,0.08,1,1,0,10,10,2,2,1,RS02,0.0031,0.0130,0.2642,0.0007,0.0058,0.0363,0,0,2.67,234,34.456563,-119.653326,3.36,2.86,90.4,1.1,0.58,0.01,15.7,1.6,,336,,,,521,8,513,1,3,5,0,61,0,264,325,100,6,81,187,0,1,323,25,173,60,0,0,8,194,2,258,16,418,87,235,286,12,408,101,263,254,4,234,15,273,8,411,102,194,327,0,10,419,92,23,0.53,10.1,1.4096,15.7360,0.62635,0.29021,0.27342,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,20136csp,Cold Springs,csp,6,2013,23,6/3/13,Tea,0.00,0.46,0.01,0.08,1,1,0,10,10,2,2,1,RS02,0.0020,0.0125,0.2206,0.0006,0.0040,0.0147,0,0.38,0.5,234,34.456563,-119.653326,4.36,3.86,90.5,0.95,0.50,0.01,14.8,2.24,3,735,100,0,0,592,42,550,68,2,40,0,269,0,9,278,198,13,59,269,0,2.5,232,28,333,254.2,0,3,123,266,5,9,8,466,118,570,21.7,101.7,278.3,211.7,13,565,14,575,45,40,42,475,75,343,248,0,2,476,114,15,0.68,10.4,1.8679,15.6662,-0.2969,0.22822,0.54318,0.13529,0.60557,-0.09384,,,,,,,,,,,,,,,,,,,,,,,,
127,20146csp,Cold Springs,csp,6,2014,23,6/22/14,Tea,0.00,0.46,0.01,0.08,,,,,,,,0,RS02,0.0014,0.0064,0.3993,0.0000,0.0021,0.2040,1,0.38,0,234,34.456563,-119.653326,5.36,4.86,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,20156csp,Cold Springs,csp,6,2015,23,7/7/15,Tea,0.00,0.46,0.01,0.08,1,1,0,10,10,2,2,1,RS02,0.0011,0.0118,1.7528,0.0000,0.0004,0.0252,2,0.62,0,234,34.456563,-119.653326,6.44,5.94,86.2,0.75,0.50,0.04,17,5,3,837,146,0,0,490,158,332,35,6,152,0,40,0,6,46,200,4,74,278,0,8,1,47,409,42,0,132,63,282,0,6,31,289,137,415,42,197,81,179,1,448,8,485,28,12,158,198,134,483,7,0,6,376,108,18,0.73,10.9,3.5005,18.1750,-0.59825,0.62943,0.1414,0.30578,0.15675,-0.47203,,,,,,,,,,,,,,,,,,,,,,,,
157,20166csp,Cold Springs,csp,6,2016,23,7/14/16,Tea,0.00,0.46,0.01,0.08,,,,,,,,0,RS02,0.0000,0.0108,0.6938,0.0000,0.0001,0.0059,3,0.67,0,234,34.456563,-119.653326,7.44,6.94,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,20176csp,Cold Springs,csp,6,2017,23,6/30/17,Tea,0.00,0.46,0.01,0.08,1,1,0,10,10,2,2,1,RS02,0.0059,0.1190,12.0346,0.0013,0.0145,1.4943,0,0.5,0.5,234,34.456563,-119.653326,8.44,7.94,64.9,0.99,0.64,0.016,18,7,7,776,130,1985,0,925,0,925,187,0,0,0,483,0,100,583,57,183,101,341,0,1,110,188,613,483,0,1,118,409,1,100,6.5,327,578,791,120.5,647.5,208,56,260,646,5,1008,2,102,0,626,299,818,99,7.875,0,640,285,24,0.62,11.0,3.8361,16.0049,-0.62613,-0.32861,-0.43118,-0.58941,-0.42929,0.07713,,,,,,,,,,,,,,,,,,,,,,,,
