1,Sitetime,Stream,code,Month,year,Stream#,Date,Fire,Rip M-H burn,Rip burn,Basin M-H burn,Basin burn,burn debris,BurnDfRef,trout,Burntrtref,Burn trout,Burn trout  w all,yrs code,StreamDried,NEW Gage,SAN JOSE DISCHARGE,SAN JOSEAvg Daily Disch,SAN JOSE Max disch,DOSD Nr nrst gage,Avg Daily Disch  Nr nrst gage,Max disch  Nr nrst gage,Cumulative Junes dry,Preceding Yr Dry  Duration (ys),Time since dry,Elevation,Latitude,Longitude,yrs since burned,yrs since Disturbance,avg % canopy cover,Max Depth,Avg Max depth,Avg Sed. Depth, temp,DO,FLOW,Conductivity,Leaf CPOM wet wt,Algae CPOM wet wt,Nitella aquatic veg CPOM wet wt,Total inverts,Total non-insects,Total insects,Total amphibians,Turbellaria,Mollusks ,Crustacea,Ephemerop,Plecoptera,Trichoptera,EPT,Odonata,Coleoptera,Hemiptera,OCH,Megaloptera ,Diptera,Sensitive,Medium,Tolerant,Coll-gath,Coll-filt,Filter-lent,Grazer,Predator,Piercer,Shredder,Semi,Uni,Multi,Fast seas,Non-seas,small,medium,large,Cold steno,Cool/warm eury,Warm eury,Pool,Mixed,Riffle,No wings,Weak flght,Strong flght,Rare drift,Occ-com drift,Abund drift,Cut resp,Gills,Atmospheric,Taxa richness,Pielou's J,rarified # taxa,Biotic index,Thermal index,NMS1,NMS2,NMS3,NMS1 13-20,NMS2 13-20,NMS3 13-20,pH,CPOM PH,CPOM PS,FPOM PH,FPOM PS,PH  AFDM(Org),PH Inorg Sed.,PS  AFDM(Org),PS Inorg Sed.,Pool Soft Chl a,Pool Hard Chl a,Av Curr vel  PH,Av Curr vel  PS,Av Depth  PH,Av Depth  PS,Clad PH,Clad PS,Macro PH,Macro PS,,,,,
174,20176ecm,El Capitan usual,ecm,6,2017,8,6/21/17,Sherpa,1.00,1.00,0.78,0.93,3,3,0,30,30,7,1,1,Refugio,0.0079,0.1229,12.0346,0.6889,1.7343,43.2381,0,0.5,0.5,124,34.482938,-120.017658,1.08,1.08,20.1,0.58,0.40,0.092,21,8,7,778,27,15075,0,5230,0,5230,4,0,0,0,5076,0,10,5086,38,26,47,111,0,33,20,167,5030,5079,2,31,4,109,0,9,2,113,5102,5169,48,5102,81,34,8,5076,133,5086,6,142,0,5123,107,5074,18,138,2,5124,104,22,0.12,4.3,2.0326,20.9239,-1.10046,-0.70151,-1.1657,-1.14186,-1.20661,-0.27376,,,,,,,,,,,,,,,,,,,,,,,,
194,20186ecm,El Capitan usual,ecm,6,2018,8,6/20/18,Sherpa,1.00,1.00,0.78,0.93,3,3,0,30,30,7,1,1,Carpinteria,0.0000,0.0099,1.2148,0.0082,0.0909,11.0436,0,0,1.5,124,34.482938,-120.017658,2.08,2.08,21,0.29,0.23,0.054,22,9,8,766,37,1115,0,1519,0,1519,101,0,0,0,843,0,5,848,68,52,4,124,1,546,10,1332,150,1112,269,0,101,133,0,5,5,382,1097,1175,317,1407,16,69,23,1363,98,313,38,1268,0,1165,354,493,8,1018,269,917,333,26,0.62,12.3,3.3914,17.6387,-0.65021,-1.32635,0.45155,-1.1927,-0.08521,1.02738,,,,,,,,,,,,,,,,,,,,,,,,
214,20206ecm,El Capitan usual,ecm,6,2020,8,7/1/20,Sherpa,1.00,1.00,0.78,0.93,3,3,0,30,30,7,2,1,Carpinteria,0.0017,0.0334,2.0954,0.0062,0.0458,3.1432,0,0,3.5,124,34.482938,-120.017658,4.08,4.08,28,0.70,0.38,0.025,18.0,9,7,582,9,960,0,1677,0,1677,208,0,0,0,1520,0,46,1566,9,25,61,95,0,16,42,1505,129,1529,7,0,209,95,1,44,12,138,1525,1597,79,1547,110,19,52,312,1311,377,13,1495,0,1579,98,206,45,1426,5,1575,97,25,0.40,8.5,3.1734,21.3581,-0.77471,-0.96328,0.85895,-1.0889,0.47554,0.96856,,,,,,,,,,,,,,,,,,,,,,,,
88,20126gob,Gobernador,gob,6,2012,27,7/18/12,,0.00,0.00,0.00,0.00,0,0,1,01,1,1,4,1,RS02,0.0014,0.0122,0.2642,0.0010,0.0055,0.0363,0,0,,134,34.410467,-119.462283,94.78,26.78,94.1,0.8,0.64,0.01,16.6,3.5,,708,,,,387,2,385,0,0,2,0,84,0,266,350,10,9,2,21,13,1,250,124,12,82,0,1,8,34,0,262,9,366,11,97,289,23,351,12,181,203,2,196,2,189,2,368,17,120,266,1,3,373,11,19,0.55,10.2,1.1067,15.6171,1.00035,-0.03898,-0.29134,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,20136gob,Gobernador,gob,6,2013,27,6/11/13,,0.00,0.00,0.00,0.00,0,0,1,01,1,1,4,1,RS02,0.0017,0.0122,0.2206,0.0006,0.0039,0.0147,0,0.02,0.79,134,34.410467,-119.462283,95.78,27.78,95.3,0.81,0.53,0.01,15.9,4,4,736,138,0,0,2185,1522,663,4,1,1521,0,39,0,153,192,117,3,2,122,13,336,105,147,1933,39,0,1851,7,138,1,153,46,2111,28,1956,229,1893,173,119,97,2063,25,2077,13,99,1522,607,56,2068,117,0,1,1838,346,22,0.55,9.6,5.9416,18.0862,0.4201,0.58341,-0.77679,1.16642,-0.98156,-0.38721,,,,,,,,,,,,,,,,,,,,,,,,
129,20146gob,Gobernador,gob,6,2014,27,6/23/14,,0.00,0.00,0.00,0.00,0,0,1,01,1,1,4,1,RS02,0.0014,0.0064,0.3993,0.0000,0.0021,0.2040,0,0.02,0.71,134,34.410467,-119.462283,96.78,28.78,95.4,0.80,0.65,0.04,14.9,2.5,7,872,38,52,0,212,23,189,9,0,23,0,19,0,10,29,78,0,3,81,0,79,5,18,189,19,0,98,4,90,0,10,8,184,20,194,18,116,17,79,0,211,1,216,4,1,23,178,11,207,5,0,0,126,86,11,0.68,8.8,2.8810,17.8143,-0.49093,0.94677,-0.46352,0.45685,-0.10931,-0.85514,,,,,,,,,,,,,,,,,,,,,,,,
144,20156gob,Gobernador,gob,6,2015,27,7/9/15,,0.00,0.00,0.00,0.00,0,0,0,00,0,0,4,1,RS02,0.0020,0.0117,1.7528,0.0000,0.0004,0.0252,0,0,1.71,134,34.410467,-119.462283,97.86,29.86,96.4,0.80,0.55,0.01,16,4,3.6,934,130,2,0,419,24,395,14,0,24,0,200,0,25,225,111,1,4,116,0,54,10,25,383,201,0,73,14,120,0,25,6,205,207,385,33,278,29,111,8,408,2,419,5,9,24,383,12,410,9,0,0,355,64,17,0.57,9.2,3.0973,17.7559,-0.7474,0.14128,-0.64426,-0.20788,-0.49401,-0.441,,,,,,,,,,,,,,,,,,,,,,,,
159,20166gob,Gobernador,gob,6,2016,27,7/16/16,,0.00,0.00,0.00,0.00,,,,,,,,0,RS02,0.0000,0.0108,0.6938,0.0000,0.0001,0.0059,1,0.34,0,134,34.410467,-119.462283,98.86,30.86,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,20176gob,Gobernador,gob,6,2017,27,6/22/17,,0.00,0.00,0.00,0.00,0,0,0,00,0,8,4,1,RS02,0.0082,0.1224,12.0346,0.0010,0.0149,1.4943,0,0.56,0.46,134,34.410467,-119.462283,99.86,31.86,90.5,0.82,0.65,0.012,18,8,7,741,36,311,0,376,3,373,24,0,3,0,26,0,17,43,224,74,32,330,0,0,21,81,274,26,0,0,14,342,1,17,6,317,53,352,24,94,58,224,85,290,1,382,5,13,3,262,111,355,21,0,0,267,109,14,0.59,10.1,4.5994,16.0840,-0.32654,0.76596,0.56074,0.33812,0.435,-0.70677,,,,,,,,,,,,,,,,,,,,,,,,
195,20186gob,Gobernador,gob,6,2018,27,6/12/18,Thomas,0.88,1.00,0.91,1.00,3,3,0,30,30,8,1,1,Carpinteria,0.0008,0.0102,1.2148,0.0074,0.0934,11.0436,0,0.08,0.46,134,34.410467,-119.462283,0.50,0.50,21,0.37,0.32,0.11,27,8,8,770,4,365,0,231,0,231,4,0,0,0,200,0,0,200,16,12,1,29,0,2,4,137,88,201,2,0,4,27,1,0,2,25,202,210,19,212,0,17,6,193,30,105,1,129,0,200,31,103,0,128,2,216,13,13,0.62,9.3,2.7337,18.1922,-0.85433,-1.2737,-0.25252,-1.38521,-0.69356,0.40554,,,,,,,,,,,,,,,,,,,,,,,,
89,20126myg,Maria Ygnacio,myg,6,2012,11,7/20/12,,0.00,0.00,0.00,0.00,0,0,1,01,1,1,4,1,San Jose,0.0014,0.0122,0.2642,0.0014,0.0122,0.2642,0,0,,116,34.476801,-119.790505,21.78,21.78,78.5,1.5,1.07,0.11,20.9,8.28,,803,,,,326,41,285,0,3,38,0,28,0,212,240,13,27,0,40,5,0,48,216,62,28,0,0,55,28,4,211,25,232,69,77,249,93,222,11,47,276,3,220,45,61,41,263,22,262,63,1,4,259,63,19,0.59,11.9,1.1987,17.4459,0.37277,0.08408,-1.02338,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,20136myg,Maria Ygnacio,myg,6,2013,11,6/13/13,,0.00,0.00,0.00,0.00,0,0,1,01,1,1,4,1,San Jose,0.0023,0.0121,0.2206,0.0023,0.0121,0.2206,0,0,,116,34.476801,-119.790505,22.78,22.78,79.9,1.28,1.02,0.07,19.1,4.8,7,793,56,182,0,555,88,467,0,0,88,0,178,0,223,401,42,18,0,60,5,1,70,229,255,178,0,4,91,56,4,222,32,278,244,281,273,283,234,37,70,457,27,387,91,77,88,427,40,477,78,0,1,450,104,20,0.64,10.3,2.0239,18.4652,-0.06472,-0.04292,-0.90211,-0.12949,-0.79277,0.31393,,,,,,,,,,,,,,,,,,,,,,,,
130,20146myg,Maria Ygnacio,myg,6,2014,11,6/27/14,,0.00,0.00,0.00,0.00,0,0,1,01,1,1,4,1,San Jose,0.0011,0.0063,0.3993,0.0011,0.0063,0.3993,0,0,,116,34.476801,-119.790505,23.78,23.78,75.0,1.40,0.99,0.08,18.7,7.75,7,835,22,0,0,370,15,355,0,1,14,0,230,0,83,313,25,8,0,33,9,0,29,96,243,230,0,0,16,40,1,83,9,125,234,252,116,252,104,12,31,319,18,319,15,36,15,341,14,331,39,0,1,347,22,20,0.51,10.5,2.6479,18.3413,-0.30987,-0.26364,-1.01568,-0.35687,-0.98435,0.07914,,,,,,,,,,,,,,,,,,,,,,,,
145,20156myg,Maria Ygnacio,myg,6,2015,11,7/3/15,,0.00,0.00,0.00,0.00,0,0,1,01,1,1,4,1,San Jose,0.0014,0.0120,1.7528,0.0014,0.0120,1.7528,0,0,,116,34.476801,-119.790505,24.86,24.86,80.9,1.30,1.19,0.09,19,8,8,843,33,228,0,704,17,687,4,0,17,0,406,0,197,603,46,10,0,56,21,7,62,191,449,406,0,8,24,70,5,195,15,268,419,438,264,440,232,30,61,624,17,622,22,64,17,661,26,621,82,1,2,669,33,23,0.51,10.5,3.6645,17.2670,-0.28188,-0.23171,-1.01659,-0.31357,-0.9767,0.06173,,,,,,,,,,,,,,,,,,,,,,,,
160,20166myg,Maria Ygnacio,myg,6,2016,11,7/26/16,,0.00,0.00,0.00,0.00,0,0,1,01,1,1,4,1,San Jose,0.0000,0.0104,0.6938,0.0000,0.0104,0.6938,0,0,,116,34.476801,-119.790505,25.86,25.86,79.1,1.45,1.22,0.10,20,2.6,8,874,9,22,0,332,24,308,0,0,24,0,151,0,83,234,59,2,0,61,9,4,20,102,206,151,0,4,25,69,0,83,15,138,175,194,134,181,110,37,21,293,14,282,24,26,24,289,19,302,30,0,0,302,30,14,0.70,10.5,1.4623,18.4322,-0.31473,-0.01066,-0.87666,-0.18168,-0.77014,0.00053,,,,,,,,,,,,,,,,,,,,,,,,
177,20176myg,Maria Ygnacio,myg,6,2017,11,6/19/17,,0.00,0.00,0.00,0.00,0,0,1,01,1,1,4,1,San Jose,0.0076,0.1237,12.0346,0.0076,0.1237,12.0346,0,0,,116,34.476801,-119.790505,26.86,26.86,68.1,1.25,1.00,0.084,21,9,7,798,31,37,0,250,22,228,3,1,21,0,102,0,66,168,17,15,2,34,26,0,70,87,86,102,0,0,25,59,2,65,4,115,124,134,109,130,99,14,29,203,11,198,23,32,22,208,20,195,54,1,2,210,38,25,0.73,14.7,0.2853,17.8069,-0.04298,-0.33165,-0.65728,-0.10655,-0.67997,0.40908,,,,,,,,,,,,,,,,,,,,,,,,
197,20186myg,Maria Ygnacio,myg,6,2018,11,6/17/18,,0.00,0.00,0.00,0.00,0,0,1,01,1,1,4,1,San Jose,0.0000,0.0100,1.2148,0.0000,0.0100,1.2148,0,0,,116,34.476801,-119.790505,27.86,27.86,67,1.22,0.99,0.08,17,9,8,768,32,2,0,327,31,296,2,5,26,0,48,0,163,211,60,21,0,81,4,0,133,95,97,48,0,0,39,78,1,163,21,232,72,111,214,93,189,43,138,162,25,138,33,158,31,272,24,176,150,1,5,275,47,24,0.68,14.3,0.9218,16.9675,0.39571,0.0486,-0.37706,0.20416,-0.26092,0.61011,,,,,,,,,,,,,,,,,,,,,,,,
215,20206myg,Maria Ygnacio,myg,6,2020,11,7/2/20,Cave,0.00,0.00,0.18,0.25,0,0,1,01,1,1,4,1,San Jose,0.0017,0.0333,2.0954,0.0017,0.0333,2.0954,0,0,,116,34.476801,-119.790505,29.86,29.86,78,1.20,0.86,0.07,17.2,8,7,677,37,417,6,290,23,267,1,0,23,0,131,0,25,156,90,17,1,108,1,2,73,63,152,133,0,0,34,99,0,25,14,123,151,202,86,169,60,59,7,267,14,250,24,17,23,254,13,272,14,4,0,247,43,22,0.72,12.6,2.3767,18.8386,-0.37457,-0.30349,-0.52972,0.00687,-0.59264,-0.33743,,,,,,,,,,,,,,,,,,,,,,,,
29,20096mrn,Mission at Rocky Nook,mrn,6,2009,18,6/18/09,Tea,0.00,0.00,0.02,0.10,1,1,1,11,11,4,1,1,Mission,0.0025,0.0204,0.5267,0.0031,0.0115,0.3341,0,0,,129,34.443747,-119.709493,92.00,92.00,95.8,0.7,0.458,,18.1,8.2,,1117,,,,472,59,413,1,4,55,0,71,0,309,380,18,13,0,31,2,0,109,294,69,70,0,0,64,31,1,307,5,359,108,154,318,118,337,17,45,426,1,362,56,55,59,402,11,402,70,0,6,405,61,18,0.57,10.8,2.2091,16.8019,0.5969,-0.16837,-0.93955,,,,8.24,2.8,22.3,1.0,5.1,1.191,3.898,3.681,16.132,45.11,17.58,0.02,0.02,0.22,0.32,2.6,0.0,2.6,0.0,,,,,
55,20106mrn,Mission at Rocky Nook,mrn,6,2010,18,6/18/10,Jesusita,0.00,0.00,0.59,0.73,1,1,0,10,10,5,1,1,Mission,0.0096,0.0783,2.6051,0.0068,0.1084,5.0121,0,0,,129,34.443747,-119.709493,92.78,0.86,94.3,0.6,0.34,0.13,18.7,10.75,,927,,,,309,0,309,41,0,0,0,120,0,3,123,141,5,10,156,2,28,32,124,153,120,29,0,43,157,0,1,4,151,154,300,9,150,16,143,2,304,3,230,1,119,0,265,44,189,7,113,29,266,14,18,0.61,9.8,3.3675,17.2025,-0.49064,-0.25709,0.86547,,,,8.59,1.61,1.15,0.32,0.48,0.693,0.909,1.619,12.451,18.69,17.25,0.042,0.064,0.17,0.22,26.0,11.2,26.0,11.2,,,,,
70,20116mrn,Mission at Rocky Nook,mrn,6,2011,18,6/23/11,Jesusita,0.00,0.00,0.59,0.73,1,1,0,10,10,5,2,1,Mission,0.0127,0.2054,17.2166,0.0210,0.2060,11.0436,0,0,,129,34.443747,-119.709493,93.78,1.86,94.6,0.8,0.56,0.07,15.6,10.45,,346,,,,918,4,914,8,0,4,0,845,4,27,876,14,14,8,36,0,2,346,534,38,844,3,0,13,27,9,30,7,53,858,879,39,868,36,14,18,818,82,372,20,534,4,889,25,382,18,518,6,886,26,18,0.47,8.2,3.5744,17.7657,-0.03705,-1.55017,0.31883,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,20136mrn,Mission at Rocky Nook,mrn,6,2013,18,6/4/13,Jesusita,0.00,0.00,0.59,0.73,1,1,0,10,10,5,2,1,Mission,0.0017,0.0125,0.2206,0.0006,0.0030,0.0317,0,0,,129,34.443747,-119.709493,95.78,3.86,94.7,0.63,0.38,0.03,16.3,6.9,7,954,158,0,0,663,233,430,1,39,194,0,12,0,56,68,182,5,154,341,17,4,12,131,519,12,0,110,90,392,3,57,16,363,283,565,97,205,275,182,4,654,4,528,90,46,233,257,173,595,68,0,39,376,248,18,0.71,10.3,4.4312,17.3171,-0.1429,0.93282,0.0316,0.73617,0.14072,-0.3975,,,,,,,,,,,,,,,,,,,,,,,,
176,20176mrn,Mission at Rocky Nook,mrn,6,2017,18,6/15/17,Jesusita,0.00,0.00,0.59,0.73,1,1,0,10,10,5,3,1,Mission,0.0068,0.1255,12.0346,0.0031,0.0969,9.8542,0,0,,129,34.443747,-119.709493,99.86,7.94,86.1,0.57,0.48,0.024,21,11,8,1119,28,621,0,543,15,528,299,1,13,1,64,0,13,77,351,4,94,449,2,0,1,21,520,64,0,2,310,450,2,13,4,369,169,520,22,81,109,352,2,538,2,825,13,3,15,427,101,538,4,1,1,433,109,18,0.51,6.8,4.1132,18.6750,-0.76228,0.4484,0.45579,-0.162,0.56458,-0.38972,,,,,,,,,,,,,,,,,,,,,,,,
196,20186mrn,Mission at Rocky Nook,mrn,6,2018,18,6/15/18,Jesusita,0.00,0.00,0.59,0.73,1,1,0,10,10,5,3,1,Mission,0.0000,0.0101,1.2148,0.0003,0.0095,0.9231,0,0.17,0.67,129,34.443747,-119.709493,100.86,8.94,91,0.61,0.42,0.018,17,6,6.2,852,31,2,0,401,56,345,58,14,32,10,3,0,11,14,153,16,155,324,0,7,3,29,359,13,0,12,87,324,12,11,1,202,188,367,24,56,173,162,3,379,9,384,49,26,56,175,170,374,17,10,14,184,203,17,0.64,10.6,2.8389,17.0863,-0.49692,0.75319,0.35601,0.19505,0.61814,-0.42004,,,,,,,,,,,,,,,,,,,,,,,,
26,20096bgu,Mission SBBG upper,bgu,6,2009,16,6/18/09,Jesusita,0.92,1.00,0.76,0.85,2,2,0,20,20,3,1,1,Mission ,0.0025,0.0204,0.5267,0.0031,0.0115,0.3341,0,0,,232,34.460483,-119.710120,0.08,0.08,79.6,0.6,0.356,,16.2,8.33,,988,,,,787,42,745,0,1,41,0,103,0,378,481,96,118,47,261,1,2,321,299,163,101,0,0,127,174,7,377,14,620,153,352,432,229,482,76,275,468,44,343,55,388,42,657,88,465,300,22,3,649,135,29,0.70,15.7,2.1137,16.8661,0.56558,0.02033,-0.19343,,,,8.25,1.2,63.9,0.3,16.0,0.947,2.003,9.419,33.996,32.70,12.94,0.02,0.03,0.16,0.18,0.0,0.0,0.0,0.0,,,,,
52,20106bgu,Mission SBBG upper,bgu,6,2010,16,6/18/10,Jesusita,0.92,1.00,0.76,0.85,2,2,0,20,20,3,1,1,Mission ,0.0096,0.0783,2.6051,0.0068,0.1084,5.0121,0,0.21,0.67,232,34.460483,-119.710120,0.86,0.86,60.1,0.4,0.28,0.11,18.3,10.64,,953,,,,2049,3,2046,260,1,2,0,1911,0,19,1930,15,70,10,95,0,21,128,270,1633,1921,11,0,267,93,1,16,2,117,1929,1997,34,2002,28,19,65,1976,7,2092,22,195,3,1957,89,1870,6,173,13,1945,91,25,0.37,7.8,5.3404,17.0604,-0.96325,-0.80704,-0.56153,,,,8.17,2.93,1.58,0.82,0.77,1.332,2.339,4.168,23.283,201.02,23.68,0.054,0.034,0.13,0.18,72.0,39.0,72.0,39.0,,,,,
66,20116bgu,Mission SBBG upper,bgu,6,2011,16,6/23/11,Jesusita,0.92,1.00,0.76,0.85,2,2,0,20,20,3,2,1,Mission ,0.0127,0.2054,17.2166,0.0210,0.2060,11.0436,0,0,1.67,232,34.460483,-119.710120,1.86,1.86,60.9,0.9,0.59,0.11,19.2,11.2,,800,,,,875,1,874,299,1,0,0,735,0,26,761,16,35,46,97,0,16,134,570,170,738,13,0,299,83,15,26,2,79,793,828,46,784,72,18,18,465,391,627,17,530,1,780,94,350,2,523,14,777,84,21,0.63,10.8,1.7646,20.8466,-0.75734,-0.86155,0.39614,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,20126bgu,Mission SBBG upper,bgu,6,2012,16,6/21/12,Jesusita,0.92,1.00,0.76,0.85,2,2,0,20,20,3,2,1,Mission ,0.0057,0.0132,0.2642,0.0014,0.0072,0.1642,0,0,2.67,232,34.460483,-119.710120,2.86,2.86,53.6,0.85,0.58,0.11,16.1,8.85,,430,,,,335,9,326,41,7,2,0,16,0,52,68,40,23,195,258,0,0,2,78,249,16,0,0,46,259,4,51,1,108,220,272,57,35,254,40,12,309,8,346,12,18,9,109,217,319,9,7,8,109,218,17,0.67,11.7,2.9506,17.4474,-0.41353,0.78535,-0.09272,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,20136bgu,Mission SBBG upper,bgu,6,2013,16,6/4/13,Jesusita,0.92,1.00,0.76,0.85,2,2,0,20,20,3,2,1,Mission ,0.0017,0.0125,0.2206,0.0006,0.0030,0.0317,0,0,3.67,232,34.460483,-119.710120,3.86,3.86,57.4,0.83,0.52,0.09,16.8,7.8,7,982,16,0,0,1037,49,988,182,4,45,0,126,0,481,607,83,44,224,351,30,0,2,534,491,126,0,0,231,366,18,478,4,628,396,494,533,206,737,85,16,1009,3,1134,72,13,49,720,268,998,39,0,7,719,311,22,0.62,10.4,3.6834,18.8148,-0.49315,0.35674,-0.47745,-0.31443,0.03835,0.2932,,,,,,,,,,,,,,,,,,,,,,,,
126,20146bgu,Mission SBBG upper,bgu,6,2014,16,6/19/14,Jesusita,0.92,1.00,0.76,0.85,2,2,0,20,20,3,3,1,Mission ,0.0017,0.0065,0.3993,0.0006,0.0046,0.6400,0,0,4.67,232,34.460483,-119.710120,4.86,4.86,57.4,0.72,0.55,0.06,16.6,2.29,7,1107,14,0,0,327,2,325,28,0,2,0,93,0,10,103,71,8,141,220,1,1,2,34,287,93,0,1,31,219,1,10,2,85,236,288,35,100,153,70,4,298,21,344,7,4,2,176,149,323,4,0,0,175,152,18,0.59,9.2,2.1777,19.4500,-0.67518,0.48557,-0.17311,-0.14384,-0.03263,-0.42615,,,,,,,,,,,,,,,,,,,,,,,,
141,20156bgu,Mission SBBG upper,bgu,6,2015,16,6/30/15,Jesusita,0.92,1.00,0.76,0.85,2,2,0,20,20,3,3,1,Mission ,0.0011,0.0121,1.7528,0.0006,0.0037,0.4106,0,0,5.67,232,34.460483,-119.710120,5.94,5.94,71.2,0.78,0.52,0.04,20,3,1,1175,5,0,0,427,8,419,65,0,8,0,118,0,17,135,110,28,138,276,3,5,5,56,355,119,0,4,75,272,6,16,6,148,264,354,62,149,164,105,14,378,26,459,26,7,8,250,169,419,8,0,1,248,178,23,0.67,13.1,4.6602,19.2316,-0.63192,0.33472,-0.03536,-0.17227,0.06819,-0.24041,,,,,,,,,,,,,,,,,,,,,,,,
156,20166bgu,Mission SBBG upper,bgu,6,2016,16,7/11/16,Jesusita,0.92,1.00,0.76,0.85,2,2,0,20,20,3,3,1,Mission ,0.0000,0.0110,0.6938,0.0003,0.0036,0.2860,0,0,6.67,232,34.460483,-119.710120,6.94,6.94,66.4,0.78,0.50,0.02,18,3,4.6,1211,21,6,21,1526,22,1504,115,3,19,0,1104,0,40,1144,136,31,187,354,2,4,12,64,1414,1107,0,1,135,359,0,39,4,175,1311,1404,86,1130,250,110,15,1454,21,1577,44,20,22,1273,231,1509,17,0,4,1281,241,25,0.41,8.9,6.9610,18.4176,-0.89142,-0.1005,-0.62057,-0.61515,-0.54744,-0.25112,,,,,,,,,,,,,,,,,,,,,,,,
172,20176bgu,Mission SBBG upper,bgu,6,2017,16,6/15/17,Jesusita,0.92,1.00,0.76,0.85,2,2,0,20,20,3,3,1,Mission ,0.0068,0.1255,12.0346,0.0031,0.0969,9.8542,0,0,7.67,232,34.460483,-119.710120,7.94,7.94,67.8,0.56,0.46,0.07,17,6,6.2,1138,17,3121,0,678,42,636,303,0,42,0,404,0,8,412,145,31,46,222,1,1,4,24,637,405,0,0,345,223,0,8,6,169,490,648,17,460,61,144,14,647,4,921,56,4,42,559,77,673,5,0,0,558,120,18,0.53,8.0,1.1129,19.2180,-0.96991,-0.07451,-0.12898,-0.66685,-0.01269,-0.19149,,,,,,,,,,,,,,,,,,,,,,,,
192,20186bgu,Mission SBBG upper,bgu,6,2018,16,6/22/18,Jesusita,0.92,1.00,0.76,0.85,2,2,0,20,20,3,3,1,Mission ,0.0000,0.0098,1.2148,0.0000,0.0093,0.9231,0,0,8.67,232,34.460483,-119.710120,8.94,8.94,75,0.58,0.46,0.04,17,6,6.8,1106,70,2,0,550,45,505,103,33,12,0,100,0,26,126,130,16,204,350,0,29,5,97,435,100,0,29,115,379,4,26,10,194,334,470,67,142,256,140,2,495,41,575,29,49,45,275,230,510,38,2,33,256,261,19,0.72,11.6,4.5708,16.5400,-0.59282,0.4857,0.06774,-0.07042,0.21489,-0.27364,,,,,,,,,,,,,,,,,,,,,,,,
212,20206bgu,Mission SBBG upper,bgu,6,2020,16,6/24/20,Jesusita,0.92,1.00,0.76,0.85,2,2,0,20,20,3,4,1,Mission ,0.0011,0.0343,2.0954,0.0008,0.0362,2.2483,0,0,10.67,232,34.460483,-119.710120,10.94,10.94,84,0.63,0.44,0.09,17.0,6,6.4,996,56,1,0,448,20,428,54,1,19,0,15,0,81,96,204,21,104,329,0,3,26,92,325,17,0,1,83,317,4,80,15,296,132,331,112,47,196,200,21,409,13,436,27,39,20,307,121,411,36,1,2,299,147,24,0.61,11.9,3.5204,17.8169,-0.27291,0.61104,0.18463,0.28496,0.3537,-0.25795,,,,,,,,,,,,,,,,,,,,,,,,
30,20096ral,Rattlesnake lower,ral,6,2009,21,6/17/09,Jesusita,0.00,1.00,0.58,0.64,1,1,1,11,11,4,1,1,RS02,0.0014,0.0204,0.5267,0.0100,0.0134,0.1337,0,0,,373,34.464474,-119.687972,0.08,0.08,98.2,0.7,0.438,,15.7,8.19,,724,,,,307,1,306,1,0,1,0,110,0,109,219,79,2,2,83,0,4,251,47,9,110,3,0,3,84,0,108,53,163,91,122,185,93,145,69,146,147,14,126,52,130,1,238,68,171,130,6,5,298,4,19,0.65,12.0,0.8318,16.2586,1.03959,-0.47856,-0.06062,,,,7.88,5.9,145.6,4.9,179.9,6.225,30.532,26.201,122.669,6.37,7.86,0.04,0.01,0.15,0.23,5.6,0.0,5.6,0.0,,,,,
56,20106ral,Rattlesnake lower,ral,6,2010,21,6/19/10,Jesusita,0.00,1.00,0.58,0.64,1,1,0,10,10,5,1,1,RS02,0.0102,0.0781,2.6051,0.0068,0.1084,5.0121,0,0,,373,34.464474,-119.687972,0.86,0.86,93.4,0.5,0.34,0.15,16,9.45,,636,,,,188,0,188,1,0,0,0,142,0,3,145,4,9,2,15,0,28,53,127,8,142,28,0,0,17,0,2,2,45,141,183,5,146,38,4,9,175,4,64,2,123,0,149,39,34,34,120,29,148,11,13,0.64,10.0,1.6177,16.7962,0.27038,-1.30653,0.53913,,,,8.41,2.30,1.62,0.16,0.54,0.076,0.146,1.624,14.941,5.77,3.05,0.076,0.062,0.09,0.14,10.0,3.4,10.0,3.4,,,,,
71,20116ral,Rattlesnake lower,ral,6,2011,21,6/27/11,Jesusita,0.00,1.00,0.58,0.64,1,1,0,10,10,5,2,1,RS02,0.0136,0.2026,17.2166,0.0175,0.0607,1.5659,0,0,,373,34.464474,-119.687972,1.86,1.86,94.2,1.0,0.79,0.06,16.5,9.92,,606,,,,361,1,360,3,0,1,0,26,3,257,286,62,4,7,73,0,1,278,13,70,26,1,0,2,75,1,259,4,342,15,101,260,16,282,63,261,99,1,91,7,266,1,348,12,74,279,8,5,345,11,19,0.37,8.3,0.7561,15.7182,0.86374,0.20767,0.47938,,,,,,,,,,,,,,,,,,,,,,,,,,,
